ID,QUESTION_TEXT,HINT,QUESTION_TYPE,CATEGORY,DIFFICULTY,LANGUAGE,ANSWER_OPTION_A,ANSWER_OPTION_B,ANSWER_OPTION_C,ANSWER_OPTION_D,ANSWER_CORRECT,HAS_ORDERED_ANSWERS,ANSWER_EXPLANATION,ANSWER_AUDIO,ANSWER_VIDEO,ANSWER_ACCESSIBLE_URL,ANSWER_ACCESSIBLE_URL_TEXT,ANSWER_SCIENTIFIC_URL,ANSWER_SCIENTIFIC_URL_TEXT,ANSWER_READING_RECOMMENDATION,ANSWER_IMAGE_URL,ANSWER_IMAGE_EXPLANATION,ANSWER_EXTRA_INFO,AUTHOR,VALIDATOR,VALIDATION_STATUS,ADDED,CREATED,UPDATED,TAGS_LIST
11,Quel est le secteur le plus énergivore en France ?,,QCM,5,2,Français,Agriculture,Résidentiel + Tertiaire,Industrie,Transports,b,False,"En 2015, le secteur des bâtiments a compté pour 45% de la consommation finale (hors usages non énergétique). Les deux tiers de la consommation énergétique de ce secteur proviennent des bâtiments résidentiels, le tiers restant des bâtiments du tertiaire. Les transports constituent l’autre grand secteur consommateur d’énergie en France (33% en 2015).",,,https://www.connaissancedesenergies.org/fiche-pedagogique/mix-energetique-de-la-france,"Tout savoir sur le mix énergétique de la France : production, consommation, facture énergétique, histoire",https://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2018-10/datalab-43-chiffres-cles-de-l-energie-edition-_2018-septembre2018.pdf#page20,,,,,,Avenir Climatique,Raphael Odini,Validée,2020-03-09,2020-03-09 00:00:00,2020-09-28 00:00:00,[1]
12,Qu'est ce qui produit le plus d'énergie ?,,QCM,5,2,Français,La combustion de 1 litre de pétrole,La combustion de 1 litre de gaz à 200 bar ,50 m² de panneaux solaires pendant 1h,Une éolienne de 5m de diamètre pendant 1h avec un vent à 80km/h,a,False,"Le pétrole est une source d'énergie incroyablement dense et pratique. La combustion d'1 litre d'essence permet de dégager 10kWh, soit en ordre de grandeur, 100 heures d'un humain qui pédalerait sur une dynamo, ou encore la consommation électrique moyenne d'un foyer français.",,https://www.youtube.com/embed/Nb2S7oge8TQ?start=3600,,,,,,,,,Avenir Climatique,Matthieu Massart,Validée,2020-03-09,2020-03-09 00:00:00,2020-09-28 00:00:00,[50]
13,Combien l'humanité consomme-t-elle de barils de pétrole en une journée ?,,QCM,5,2,Français,"100,000 barils, l'énergie que produiraient 1 milliard d'humains en un jour en travaillant manuellement","1 million de barils, l'énergie que produiraient 10 milliards d'humains en un jour","10 millions de barils, l'énergie que produiraient 100 milliards d'humains en un jour","100 millions de barils, l'énergie que produiraient 1000 milliards d'humains en un jour",d,True,"Le pétrole est plus que jamais consommé en très grande quantité. Preuve en est le franchissement fin 2018 de la barre des 100 millions de barils par jour. Cela équivaut à 16 milliards de litres, ou encore 6,400 piscines olympiques.",,,https://sciencepost.fr/petrole-la-barre-des-100-millions-de-barils-consommes-par-jour-a-ete-franchie/,Pétrole : la barre des 100 millions de barils consommés par jour a été franchie,,,,,"Projections du déclin de la production des gisements pétroliers (tous pétroles) actuellement en exploitation et de la demande mondiale. Le déclin naturel correspond à un taux d’environ 8 % et serait la conséquence d’une absence d’investissements dans les puits actuels. Le déclin observé correspond à un taux de 4 %, ce que l’on observe dans des champs en déclin où l’on investit pour récupérer le pétrole de fin de production, plus difficile à extraire. Deux scénarios d’évolution de la demande sont présentés : « Nouvelles politiques » qui correspond à la prolongation de la tendance actuelle et « Développement durable » qui correspond à des efforts de limitation de la demande pour réduire les émissions de gaz à effet de serre. Le déséquilibre de 34 millions de barils/jour (Mb/j) prévu en 2025 devrait être compensé à hauteur de 20Mb/j par la mise en exploitation de réserves existantes de pétrole conventionnel et la hausse de la production américaine de pétrole de schistes. Cela n’est pas suffisant pour satisfaire la demande, quel que soit le scénario envisagé. Source : Agence Internationale de l’Énergie. 2018 via les Greniers d'Abondance.",,Matthieu Massart,Raphael Odini,Validée,2020-03-09,2020-03-09 00:00:00,2020-09-28 00:00:00,"[11, 216]"
14,De combien serait la température moyenne à la surface de la Terre sans l’effet de serre naturel ?,,QCM,1,3,Français,-50°C,-18°C,0°C,15°C,b,True,L'effet de serre est un phénomène naturel et nécessaire à la vie humaine. C'est l'effet de serre additionnel généré par les émissions d'origine humaine qui sont la cause d'un dérèglement climatique.,,,https://fr.wikipedia.org/wiki/Effet_de_serre,Effet de serre — Wikipédia,,,,,,,Matthieu Massart,Raphael Odini,Validée,2020-03-09,2020-03-09 00:00:00,2020-09-28 00:00:00,"[12, 142, 155]"
15,Lequel de ces gaz n’est pas un gaz à effet de serre ?,,QCM,1,1,Français,Protoxyde d'Azote (N2O),Dioxyde de Carbone (CO2),Vapeur d'eau (H2O),Oxygène (O2),d,False,"Ces gaz ont pour caractéristique d'absorber une partie des rayonnements infrarouges émis par la surface de la Terre, et donc d'emmagasiner de l'énergie au lieu qu'elle reparte vers l'espace. Le méthane est un autre gaz à effet de serre qui contribue largement au réchauffement climatique. La vapeur d'eau est elle aussi un puissant gaz à effet de serre, le principal même, mais très peu influencée par les activités humaines.",,,https://fr.wikipedia.org/wiki/Effet_de_serre#Les_gaz_%C3%A0_%C2%AB_effet_de_serre_%C2%BB,Effet de serre — Wikipédia,,,,,Le méthane et le protoxyde d'azote sont respectivement 28 et 298 fois plus puissant que le CO2 en terme de potentiel de réchauffement global. ,,Avenir Climatique,Matthieu Massart,Validée,2020-03-09,2020-03-09 00:00:00,2020-09-28 00:00:00,"[12, 142, 151]"
16,Quelle a été l'évolution de la température moyenne sur Terre depuis 1850 ?,,QCM,1,1,Français,"+0,1°C","+0,5°C",+1°C,+2°C,c,True,"+1,2°C pour être exact. Selon les scénarios du GIEC, elle aura augmenté de 2°C à 5°C d'ici 2100. Or, lors de la dernière période glaciaire il y a 20,000 ans, elle était seulement 5°C plus basse qu'aujourd'hui...et la déglaciation a duré 10,000 ans.",,,http://www.meteofrance.fr/climat-passe-et-futur/le-rechauffement-observe-a-l-echelle-du-globe-et-en-france,METEO FRANCE - Le site institutionnel de Météo-France,,,,,,Source image: http://www.donnees.statistiques.developpement-durable.gouv.fr/lesessentiels/climat/images/effet-de-serre-2-b.jpg,Avenir Climatique,Raphael Odini,Validée,2020-03-10,2020-03-10 00:00:00,2020-09-28 00:00:00,"[51, 142, 163]"
17,A combien se sont élevées les émissions mondiales de gaz à effet de serre en 2015 ? (en équivalent CO2),,QCM,1,4,Français,"350 millions de tonnes, soit 45 kg / habitant en moyenne","3,5 milliards de tonnes, soit 450 kg/habitant","35 milliards de tonnes, soit 4,5 tonnes / habitant","350 milliards de tonnes, soit 45 tonnes / habitant",c,True,"Ce qui fait un peu plus de 4,5 tonnes équivalent CO2 par personne. Il y a de très fortes disparités entre les pays, et à l'intérieur des pays, en lien direct avec les revenus. L'objectif de la COP21 à horizon 2050 est de 1,5 tonnes.",,,,,https://ourworldindata.org/co2-and-other-greenhouse-gas-emissions,CO₂ and Greenhouse Gas Emissions - Our World in Data,,,,,Avenir Climatique,Raphael Odini,Écartée,2020-03-10,2020-03-10 00:00:00,2020-09-28 00:00:00,"[142, 147, 149]"
18,"En hiver, lequel de ces aliments émet le plus de CO2 par kg consommé (en France) ?",,QCM,2,1,Français,Bananes de Martinique,Café de Colombie,Rutabaga,Tomates espagnoles,d,False,,,,,,,,,,,Je n'ai pas pu sourcer ces infos,Avenir Climatique,,Écartée,2020-03-10,2020-03-10 00:00:00,2020-05-28 00:00:00,[5]
19,"En mettant de côté la facilité de leur mise en œuvre, lequel de ces gestes permet de réduire le plus son empreinte carbone (par rapport à la consommation moyenne d'un Français) ?",,QCM,2,1,Français,Abandonner sa voiture à essence,Adopter un régime alimentaire à base de végétaux,Changer ses ampoules en ampoules basses consommation,Faire un vol transatlantique en moins,a,True,"Tous les gestes ne se valent pas en impact, comme le montre l'infographie.  La dernière option qui économise le plus d'émission pose bien sûr d'autres question, et son évaluation même est sujet de controverse.",,,https://jancovici.com/changement-climatique/agir-individuellement/effectuer-sa-ba-pour-agir-contre-le-changement-climatique-quelques-ordres-de-grandeur/,Effectuer sa « BA » pour agir contre le changement climatique : quelques ordres de grandeur – Jean-Marc Jancovici,https://iopscience.iop.org/article/10.1088/1748-9326/aa7541,,,,Le graphique est tiré des résultats d'un article publié en 2017 dans la revue Environmental Research Letters,,Avenir Climatique,Raphael Odini,Validée,2020-03-10,2020-03-10 00:00:00,2020-09-28 00:00:00,"[1, 72]"
20,"En 2018, quelle proportion de l'énergie consommée dans le monde l'a été sous forme d'électricité ?",,QCM,2,2,Français,10%,20%,40%,50%,b,True,"En France, cette part monte à 25%.",,,https://www.iea.org/geco/,Global Energy & CO2 Status Report 2019 – Analysis - IEA,,,,,,,Cyril Retourné,Raphael Odini,Validée,2020-03-10,2020-03-10 00:00:00,2020-09-28 00:00:00,[39]
21,"En 1850, la concentration de CO2 dans l'atmosphère s'élevait à 280 ppm (parties par million, 1% = 10,000 ppm). Quelle est sa concentration actuelle (en 2019) ?",,QCM,1,2,Français,280 ppm,315 ppm,415 ppm,480 ppm,c,True,"C'est cette augmentation de la concentration en CO2 dans l'atmosphère qui, combinée avec d'autres gaz à effet de serre comme le méthane et le protoxyde d'azote, génère un effet de serre additionnel qui dérègle le climat. Selon l’agence américaine NOAA, il faut remonter à il y a 3,6 millions d’années pour trouver une concentration comparable. La température moyenne du globe était alors de 2 degrés plus chaude, le niveau de la mer était plus haut de 24 m, des forêts recouvraient l’Arctique, il faisait très chaud dans l’actuelle Europe… Au rythme actuel, les 450 ppm, concentration qui sonne officiellement le glas de l’objectif de limiter le réchauffement planétaire à +2°C, seront atteints d’ici une douzaine d’années. En rassemblant tous les gaz à effet de serre, nous sommes même à 504 ppm équivalent CO2. Et nous reculons vers l’Eocène, pourtant à des dizaines de millions d’années de nous. Avec environ 30°C de température moyenne, la Terre ne portait alors aucun glacier…",,,https://www.lesechos.fr/monde/enjeux-internationaux/cop-25-les-six-chiffres-qui-ont-fait-mal-a-la-planete-en-2019-1151161,COP 25 : les six chiffres qui ont fait mal à la planète en 2019 | Les Echos,https://scripps.ucsd.edu/programs/keelingcurve/,,,,,"https://ourworldindata.org/grapher/global-co-concentration-ppm

https://dr-petrole-mr-carbone.com/concentration-record-de-co2-la-barre-des-415-ppm-franchie-a-mauna-loa/",Matthieu Massart,Raphael Odini,Validée,2020-03-10,2020-03-10 00:00:00,2020-09-28 00:00:00,"[12, 13, 142, 153]"
22,Quelle quantité de carbone émet-on chaque année dans l'atmosphère ?,,QCM,1,1,Français,"370 millions de tonnes de CO2, soit 48 kg/habitant en moyenne dans le monde","3,7 milliards de tonnes de CO2, soit 480 kg/hab","37 milliards de tonnes de CO2, soit 4,8 tonnes/hab","370 milliards de tonnes de CO2, soit 48 tonnes/hab",c,True,"En 2019, 37 milliards de tonnes de CO2, soit à peu près 10 milliards de tonnes de carbone ont été émises, du fait de l’usage du charbon, du pétrole et du gaz, ainsi que de la fabrication du ciment. Auxquels il faut ajouter 6 milliards de tonnes issues des changements dans l’usage des sols, des émissions en hausse et boostées par les feux de forêts en Amazonie et en Indonésie. Soit un total de 43 milliards de tonnes de dioxyde de carbone. En conséquence, la concentration de l’atmosphère en CO2 devrait passer de 407,4 parties par million en 2018 à 410 ppm en 2019 (moyenne de l’année).",,,https://www.lemonde.fr/blog/huet/2019/12/04/368-gigatonnes-de-co2-emis-en-2019/,"43,1 gigatonnes de CO2 émis en 2019 – {Sciences²}",,,,,,,Matthieu Massart,Raphael Odini,Validée,2020-03-10,2020-03-10 00:00:00,2020-09-28 00:00:00,"[12, 13, 142, 147, 149]"
23,Un puits de carbone est un réservoir qui absorbe et stocke durablement du carbone en circulation dans la biosphère. Quelle proportion des  émissions d'origine humaine les puits de carbone naturels absorbent-ils ?,,QCM,1,1,Français,20%,50%,90%,95%,b,True,"La biosphère (végétation) absorbe environ 30% de nos émissions de gaz à effet de serre, et l'océan un peu moins de 25%.",,,https://www.futura-sciences.com/planete/questions-reponses/rechauffement-climatique-puits-carbone-sont-ils-fonctionnent-ils-1212/,Puits de carbone : où sont-ils et comment fonctionnent-ils ?,https://www.globalcarbonproject.org/carbonbudget/19/files/GCP_CarbonBudget_2019.pdf,,,,,,Matthieu Massart,Raphael Odini,Validée,2020-03-10,2020-03-10 00:00:00,2020-09-28 00:00:00,"[14, 142, 154]"
24,Quels gaz sont la cause du trou dans la couche d’ozone ?,,QCM,1,1,Français,"les chlorofluorocarbures (CFC, notamment les gaz aérosols)",Le dioxyde de carbone (CO2),Le méthane (CH4),Les particules fines,a,False,"Les CFC (Chlorofluorocarbures) sont une famille de gaz organiques composés d'atomes de chlore, de carbone et de fluor. Les particules fines ne sont pas des gaz mais des poussières fines.",,,https://fr.wikipedia.org/wiki/Destruction_de_la_couche_d%27ozone,Destruction de la couche d'ozone — Wikipédia,,,,,,,Matthieu Massart,Raphael Odini,Validée,2020-03-10,2020-03-10 00:00:00,2020-09-28 00:00:00,[12]
25,Quelle proportion des réserves connues de charbon devons-nous laisser sous terre pour espérer contenir la hausse de température moyenne à sous 2°C ?,,QCM,5,1,Français,30%,50%,80%,99%,c,True,"Le GIEC avance que, pour conserver 50% de chance de rester sous la barre des 2°C de hausse par rapport à la période préindustrielle, les émissions mondiales de CO2 ne devront pas dépasser, entre 2011 et 2050, une fourchette allant de 860 à 1 180 milliards de tonnes. Cela nécessite de ne pas toucher à 80% des réserves de charbon ET 30% des réserves de pétrole ET 50% de celles de gaz. , ceci afin de conserver 50% de chances pour contenir la hausse des températures d'ici la fin du siècle ",,,https://www.lemonde.fr/planete/article/2015/01/07/pour-limiter-le-rechauffement-a-2-c-combien-de-petrole-gaz-et-charbon-en-moins_4550929_3244.html,,https://www.nature.com/articles/nature14016,,,,,"la question initiale faisait mention de 80% de pétrole.
autres articles:
https://reporterre.net/Pour-eviter-le-rechauffement-il-faut-laisser-dans-le-sol-la-moitie-des-reserves
https://www.carbonbrief.org/meeting-two-degree-climate-target-means-80-per-cent-of-worlds-coal-is-unburnable-study-says",Matthieu Massart,Raphael Odini,Validée,2020-03-10,2020-03-10 00:00:00,2020-09-28 00:00:00,"[40, 51]"
26,"Lors de la dernière déglaciation, la Terre s'est réchauffée d'environ 5°C. En combien d'années ?",,QCM,1,1,Français,100 ans,1000 ans,10 000 ans,125 000 ans,c,True,"Et +4-5°C, c'est la hausse qui nous attend d'ici 2100 si rien de sérieux n'est fait pour s'y opposer. A ce rythme de réchauffement, la flore ne pourra pas s'adapter suffisamment vite. Et encore, on ne parle que de moyennes, pas de températures extrêmes. Les hausses seront très variables selon les régions du globe.",,,https://jancovici.com/changement-climatique/predire-lavenir/ou-nous-situons-nous-dans-lechelle-des-temperatures-par-rapport-au-passe/,Où nous situons-nous dans l’échelle des températures par rapport au passé ? – Jean-Marc Jancovici,https://www.nature.com/articles/nature10915,,,,,,Matthieu Massart,laydgeur,Validée,2020-03-10,2020-03-10 00:00:00,2020-09-28 00:00:00,"[24, 51, 142, 163]"
27,Le deuxième gaz à effet de serre anthropique (créé par l'homme) est le méthane. Il est produit en majeure partie par...,,QCM,1,1,Français,la déforestation,la fonte du permafrost,les réfrigérateurs,les ruminants,d,False,Il y aussi les rizières et les fuites de gaz. La fonte du permafrost avec le réchauffement pourrait dégager des quantités astronomiques de méthane dans l'atmosphère.,,,https://jancovici.com/changement-climatique/risques/faut-il-redouter-les-hydrates-de-methane/,Faut-il craindre les hydrates de méthane ? – Jean-Marc Jancovici,,,,,,,Matthieu Massart,Pascal Esposito,Validée,2020-03-10,2020-03-10 00:00:00,2020-09-28 00:00:00,"[15, 142, 166]"
28,L'acidification de l'océan est une conséquence...,,QCM,1,2,Français,des émissions de CO2 par l'homme,de l'eutrophisation (manque d'oxygène),de la photosynthèse,du réchauffement de l'air,a,False,"Une partie du CO2 atmosphérique se dissout au contact de l’océan. On le retrouve ensuite dans l’eau sous différentes formes, dont l’acide carbonique. L’acidification a augmenté de 26 % depuis le début de la révolution industrielle (1800). Mais certains modèles de prédiction prévoient une augmentation de 150 % de l’acidité d’ici à 2100. Le rythme actuel de l’acidification de l’océan est donc dix fois plus rapide qu’à aucune autre période des 55 millions d’années qui nous ont précédés.",,,https://fr.wikipedia.org/wiki/Acidification_des_oc%C3%A9ans,Acidification des océans — Wikipédia,https://ocean-climate.org/?page_id=4538,,,,,,Matthieu Massart,laydgeur,Validée,2020-03-10,2020-03-10 00:00:00,2020-09-28 00:00:00,"[9, 142, 166]"
29,Quel est l'effet des particules fines sur le climat ?,,QCM,1,1,Français,"Elles ont un effet nocif sur la santé. Mais sur le climat, aucun effet.",Elles détruisent la couche d'ozone,Elles le refroidissent,Elles le réchauffent,c,False,"Les aérosols sont des particules fines qui ont un pouvoir réfléchissant, comme les nuages. Sans eux, le climat se réchaufferait de 0,5 à 1,1°C. C'est ce qui arrivera lorsqu'on arrêtera de brûler des énergies fossiles.",,,https://dr-petrole-mr-carbone.com/quand-la-depollution-de-lair-aggrave-le-rechauffement/,Quand la dépollution de l’air aggrave le réchauffement… | Dr Pétrole & Mr Carbone,,,,,Influences opposées des gaz à effet de serre (jaune) et des aérosols (bleu) sur la température en surface (gauche) et les précipitations (droite). L’effet net est marqué par un point rouge. Différentes parties du globe sont analysées. Crédits : N. CARY/SCIENCE.,,Matthieu Massart,laydgeur,Validée,2020-03-10,2020-03-10 00:00:00,2020-09-28 00:00:00,"[12, 99, 142, 152]"
